iter	Passed	Remaining
0	142	141909
1	144	72078
2	147	48970
3	150	37357
4	152	30398
5	155	25703
6	157	22343
7	160	19841
8	162	17908
9	165	16377
10	167	15093
11	170	14019
12	172	13126
13	175	12328
14	178	11692
15	180	11072
16	182	10534
17	184	10049
18	186	9606
19	187	9206
20	189	8830
21	191	8495
22	192	8178
23	194	7892
24	195	7627
25	196	7371
26	197	7131
27	198	6903
28	200	6696
29	201	6501
30	202	6315
31	202	6138
32	203	5975
33	204	5819
34	205	5670
35	206	5529
36	207	5393
37	207	5265
38	208	5143
39	209	5025
40	210	4914
41	210	4806
42	211	4703
43	212	4608
44	212	4516
45	213	4428
46	214	4343
47	214	4263
48	215	4185
49	216	4109
50	216	4037
51	217	3965
52	218	3899
53	218	3834
54	219	3770
55	220	3709
56	220	3649
57	221	3591
58	221	3536
59	222	3483
60	222	3431
61	223	3381
62	223	3331
63	224	3284
64	225	3238
65	225	3194
66	226	3150
67	226	3107
68	227	3066
69	227	3025
70	228	2986
71	228	2948
72	229	2911
73	229	2876
74	230	2841
75	230	2808
76	231	2774
77	231	2741
78	232	2710
79	232	2679
80	233	2649
81	234	2619
82	234	2588
83	234	2560
84	235	2533
85	235	2506
86	236	2480
87	236	2454
88	237	2430
89	238	2407
90	238	2384
91	239	2360
92	239	2337
93	240	2314
94	240	2292
95	241	2270
96	241	2249
97	242	2227
98	242	2207
99	242	2186
100	243	2167
101	244	2149
102	244	2131
103	245	2114
104	245	2096
105	246	2078
106	247	2061
107	247	2044
108	248	2027
109	248	2011
110	249	1994
111	249	1978
112	250	1963
113	250	1947
114	251	1932
115	251	1918
116	252	1903
117	252	1889
118	253	1875
119	253	1861
120	254	1847
121	254	1833
122	255	1820
123	255	1807
124	256	1794
125	256	1781
126	257	1768
127	257	1756
128	258	1744
129	258	1732
130	259	1721
131	260	1710
132	260	1698
133	261	1687
134	261	1675
135	262	1664
136	262	1653
137	263	1643
138	263	1632
139	264	1622
140	264	1612
141	264	1600
142	265	1591
143	265	1580
144	266	1571
145	267	1562
146	267	1553
147	268	1544
148	268	1534
149	269	1525
150	269	1516
151	270	1508
152	270	1499
153	271	1490
154	271	1482
155	272	1473
156	272	1465
157	273	1456
158	273	1448
159	274	1441
160	274	1432
161	275	1424
162	276	1417
163	276	1409
164	277	1401
165	277	1394
166	278	1386
167	278	1379
168	279	1372
169	279	1365
170	280	1358
171	280	1350
172	281	1344
173	281	1337
174	282	1331
175	283	1324
176	283	1318
177	283	1311
178	284	1305
179	285	1298
180	285	1292
181	286	1286
182	286	1279
183	287	1273
184	287	1267
185	288	1261
186	288	1255
187	289	1250
188	290	1244
189	290	1238
190	291	1232
191	291	1227
192	292	1221
193	292	1215
194	293	1210
195	293	1204
196	294	1199
197	294	1193
198	295	1188
199	295	1183
200	296	1178
201	296	1173
202	297	1167
203	297	1162
204	298	1157
205	299	1152
206	299	1147
207	300	1142
208	300	1137
209	301	1132
210	301	1128
211	302	1123
212	302	1118
213	303	1113
214	303	1108
215	304	1104
216	304	1100
217	305	1095
218	305	1090
219	306	1086
220	306	1081
221	307	1077
222	308	1073
223	308	1069
224	309	1064
225	309	1060
226	310	1056
227	310	1052
228	311	1048
229	311	1043
230	312	1040
231	313	1036
232	313	1032
233	314	1028
234	314	1024
235	315	1020
236	315	1016
237	316	1011
238	316	1007
239	317	1004
240	317	1000
241	318	996
242	318	992
243	319	989
244	319	985
245	320	982
246	320	978
247	321	974
248	321	970
249	322	967
250	323	963
251	323	960
252	323	956
253	324	953
254	325	949
255	325	946
256	326	943
257	326	940
258	327	937
259	328	933
260	328	930
261	329	927
262	329	923
263	330	920
264	330	917
265	331	913
266	331	910
267	332	907
268	332	903
269	333	900
270	333	897
271	334	894
272	334	891
273	335	888
274	335	885
275	336	882
276	336	879
277	337	875
278	337	872
279	338	869
280	338	866
281	339	863
282	339	860
283	340	857
284	340	854
285	341	851
286	341	849
287	342	846
288	342	843
289	343	840
290	343	837
291	344	834
292	344	832
293	345	829
294	345	826
295	346	823
296	346	821
297	347	818
298	347	815
299	348	813
300	348	810
301	349	807
302	349	805
303	350	802
304	350	799
305	351	796
306	351	794
307	352	791
308	352	789
309	353	786
310	353	783
311	354	781
312	354	779
313	355	776
314	356	774
315	356	771
316	357	769
317	357	767
318	358	764
319	358	762
320	359	759
321	359	757
322	360	755
323	360	752
324	361	750
325	361	748
326	362	745
327	362	743
328	363	741
329	364	739
330	364	737
331	365	734
332	365	732
333	366	730
334	366	728
335	367	725
336	367	723
337	368	721
338	368	719
339	369	716
340	369	714
341	370	712
342	370	710
343	371	708
344	372	706
345	372	704
346	373	702
347	373	700
348	374	697
349	374	695
350	375	693
351	375	691
352	376	689
353	376	687
354	377	685
355	377	683
356	378	681
357	378	679
358	379	677
359	380	675
360	380	673
361	381	671
362	381	669
363	382	667
364	382	665
365	383	663
366	383	661
367	384	659
368	384	657
369	385	655
370	385	654
371	386	652
372	386	650
373	387	648
374	387	646
375	388	644
376	389	642
377	389	640
378	390	639
379	390	637
380	391	635
381	391	633
382	392	631
383	392	629
384	393	627
385	393	626
386	394	624
387	394	622
388	395	620
389	395	619
390	396	617
391	397	615
392	397	614
393	398	612
394	398	610
395	399	608
396	399	607
397	400	605
398	400	603
399	401	602
400	402	600
401	402	598
402	403	597
403	403	595
404	404	593
405	404	592
406	405	590
407	405	588
408	406	586
409	406	585
410	407	583
411	407	581
412	408	580
413	408	578
414	409	577
415	410	575
416	410	573
417	411	572
418	411	570
419	412	568
420	412	567
421	412	565
422	413	564
423	413	562
424	414	560
425	415	559
426	415	557
427	416	556
428	416	554
429	417	552
430	417	551
431	418	549
432	418	548
433	419	546
434	419	544
435	420	543
436	420	541
437	421	540
438	421	538
439	422	537
440	422	535
441	423	534
442	423	532
443	424	531
444	424	529
445	425	528
446	425	526
447	426	525
448	426	523
449	427	522
450	427	520
451	428	519
452	428	517
453	429	516
454	429	514
455	430	513
456	430	512
457	431	510
458	432	509
459	432	507
460	433	506
461	433	504
462	434	503
463	434	502
464	435	500
465	435	499
466	436	498
467	436	496
468	437	495
469	438	494
470	438	492
471	439	491
472	439	490
473	440	488
474	440	487
475	441	485
476	442	484
